Scenario,Variable,Unit,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Below 2 C,CO2 FFI,test,34691.05739,34657.57793,34624.09847,34590.61901,34557.13955,34523.66009,33468.635687999995,32413.611286,31358.586883999997,30303.562481999998,29248.53808,28303.719321999997,27358.900564,26414.081806,25469.263048,24524.44429,23578.614694,22632.785098,21686.955502,20741.125906,19795.29631,18871.936732000002,17948.577154000002,17025.217576000003,16101.857998,15178.49842,14267.821612,13357.144804,12446.467996,11535.791188000001,10625.11438,9907.9664358,9190.818491600001,8473.670547400001,7756.5226032,7039.374659,6329.8872524,5620.399845800001,4910.9124392,4201.4250326,3491.937626,2923.95206654,2355.96650708,1787.9809476199998,1219.99538816,652.0098287,247.32233856,-157.36515157999997,-562.05264172,-966.7401318599999,-1371.427622,-1755.6511062,-2139.8745903999998,-2524.0980746,-2908.3215588000003,-3292.545043,-3313.8058724,-3335.0667018,-3356.3275312,-3377.5883605999998,-3398.84919,-3409.7383204,-3420.6274507999997,-3431.5165812,-3442.4057116,-3453.294842,-3456.4316808,-3459.5685196,-3462.7053584,-3465.8421972,-3468.979036,-3466.5480394,-3464.1170428,-3461.6860462,-3459.2550496,-3456.824053,-3450.2966714,-3443.7692898,-3437.2419081999997,-3430.7145265999998,-3424.187145
Below 2 C,HFC-23,test,12.31255527,12.762735894,13.212916518,13.663097142,14.113277766,14.56345839,14.746435997999999,14.929413605999999,15.112391214,15.295368822,15.47834643,15.603115394,15.727884358,15.852653322,15.977422286000001,16.10219125,16.179612194,16.257033138,16.334454082,16.411875026,16.48929597,16.515392944000002,16.541489918,16.567586892,16.593683866,16.61978084,16.537201452,16.454622064000002,16.372042676,16.289463288,16.2068839,16.050619254,15.894354608,15.738089962,15.581825316,15.42556067,15.356062421999999,15.286564173999999,15.217065926,15.147567678,15.07806943,15.019457622,14.960845813999999,14.902234006,14.843622198,14.78501039,14.713261012,14.641511634,14.569762255999999,14.498012877999999,14.4262635,14.314980241999999,14.203696983999999,14.092413726,13.981130468,13.86984721,13.893780296,13.917713381999999,13.941646468,13.965579554,13.98951264,13.981612768,13.973712896,13.965813024,13.957913152,13.95001328,13.90755215,13.86509102,13.82262989,13.780168759999999,13.73770763,13.683286469999999,13.62886531,13.57444415,13.520022990000001,13.46560183,13.405181026000001,13.344760222000001,13.284339418,13.223918614,13.16349781
Below 2 C,HFC-143a,test,71.8351786,73.79580336000001,75.75642812000001,77.71705288,79.67767764,81.6383024,83.29240504,84.94650768,86.60061032,88.25471295999999,89.9088156,88.269490456,86.630165312,84.99084016799999,83.351515024,81.71218988,80.688310324,79.664430768,78.64055121199999,77.616671656,76.5927921,74.04766909,71.50254608,68.95742307,66.41230006,63.86717705,61.936488594000004,60.005800138000005,58.075111682,56.144423226,54.21373477,50.553988336,46.894241902000005,43.234495468000006,39.574749034,35.9150026,34.468820640000004,33.02263868,31.57645672,30.13027476,28.6840928,28.14207952,27.60006624,27.058052959999998,26.51603968,25.9740264,25.4206781,24.8673298,24.3139815,23.7606332,23.2072849,22.52521312,21.84314134,21.16106956,20.47899778,19.796926,20.16453374,20.53214148,20.89974922,21.26735696,21.6349647,21.82035878,22.00575286,22.19114694,22.37654102,22.5619351,22.5606652,22.5593953,22.5581254,22.5568555,22.5555856,22.44520326,22.33482092,22.22443858,22.11405624,22.0036739,21.85756782,21.71146174,21.565355659999998,21.41924958,21.2731435
Below 2 C,NH3,test,58.15786321,58.84411806,59.530372910000004,60.21662776,60.902882610000006,61.58913746,61.994825410000004,62.400513360000005,62.80620131,63.21188926,63.61757721,64.080440486,64.543303762,65.006167038,65.46903031400001,65.93189359,66.337547616,66.743201642,67.148855668,67.554509694,67.96016372,68.30489546599999,68.649627212,68.99435895799999,69.339090704,69.68382245,69.97350556399999,70.26318867799999,70.552871792,70.842554906,71.13223802,71.21180519800001,71.291372376,71.370939554,71.450506732,71.53007391,71.625803248,71.721532586,71.81726192400001,71.912991262,72.0087206,72.134849672,72.260978744,72.38710781600001,72.51323688800001,72.63936596,72.63314074600001,72.626915532,72.620690318,72.61446510399999,72.60823989,72.54013740399999,72.47203491799999,72.403932432,72.335829946,72.26772746,72.592272612,72.916817764,73.241362916,73.565908068,73.89045322,74.11446573799999,74.338478256,74.562490774,74.786503292,75.01051581,75.131521726,75.252527642,75.37353355799999,75.49453947399999,75.61554539,75.66338389799999,75.71122240599999,75.759060914,75.806899422,75.85473793,75.855763018,75.856788106,75.857813194,75.858838282,75.85986337
Below 2 C,BC,test,6.302314255,6.1458888944,5.9894635337999995,5.8330381732,5.6766128126,5.520187452,5.3752950188,5.2304025856,5.0855101523999995,4.9406177192,4.795725286,4.691295987799999,4.5868666896,4.4824373913999995,4.3780080932,4.273578795,4.1829901114,4.0924014278,4.0018127441999995,3.9112240606,3.820635377,3.7378986354,3.6551618938,3.5724251522,3.4896884106,3.406951669,3.3326978034,3.2584439378,3.1841900722,3.1099362066,3.035682341,2.9664858512,2.8972893614,2.8280928716,2.7588963818,2.689699892,2.6286437256,2.5675875592,2.5065313928,2.4454752264,2.38441906,2.3367952013999997,2.2891713428,2.2415474842,2.1939236256,2.146299767,2.1106781841999998,2.0750566014,2.0394350186,2.0038134358,1.968191853,1.945845637,1.923499421,1.901153205,1.878806989,1.856460773,1.8623606962,1.8682606194,1.8741605426,1.8800604658,1.885960389,1.8895393428,1.8931182966,1.8966972504000001,1.9002762042,1.903855158,1.9045671956,1.9052792332000001,1.9059912708,1.9067033084,1.907415346,1.9085038582,1.9095923704,1.9106808826000001,1.9117693948,1.912857907,1.913896167,1.914934427,1.915972687,1.9170109469999999,1.918049207
Below 2 C,CF4,test,4.555021732,4.6431080262,4.7311943204,4.8192806146,4.9073669088,4.995453203,4.9831004286,4.9707476542,4.9583948798,4.9460421054,4.933689331,4.9328655852,4.9320418394,4.9312180936,4.9303943478,4.929570602,4.9190557226000005,4.9085408432,4.8980259638,4.8875110844,4.876996205,4.8388988002,4.8008013954,4.7627039906,4.7246065858,4.686509181,4.6007879654,4.5150667498,4.4293455342,4.3436243186,4.257903103,4.0951511080000005,3.9323991130000002,3.769647118,3.606895123,3.444143128,3.4089511286,3.3737591291999998,3.3385671298,3.3033751303999996,3.268183131,3.2291363962,3.1900896614,3.1510429265999997,3.1119961918,3.072949457,3.0302057208,2.9874619846,2.9447182484,2.9019745122,2.859230776,2.8050315916,2.7508324072,2.6966332228,2.6424340384,2.588234854,2.5495629984,2.5108911428,2.4722192872,2.4335474316,2.394875576,2.34459055,2.294305524,2.2440204980000003,2.193735472,2.143450446,2.0821720876,2.0208937292,1.9596153708,1.8983370124,1.837058654,1.7672165622,1.6973744704,1.6275323786,1.5576902868,1.487848195,1.4346102454,1.3813722958,1.3281343462000001,1.2748963966,1.221658447
Below 2 C,N2O,test,9124.674396,9156.1265976,9187.5787992,9219.0310008,9250.4832024,9281.935404,9194.0263812,9106.117358399999,9018.2083356,8930.2993128,8842.39029,8834.585871199999,8826.781452399999,8818.9770336,8811.1726148,8803.368196,8815.140767199999,8826.9133384,8838.685909599999,8850.4584808,8862.231052,8858.3078646,8854.3846772,8850.4614898,8846.5383024,8842.615115,8831.6291788,8820.643242600001,8809.6573064,8798.671370200002,8787.685434,8795.211434800001,8802.7374356,8810.2634364,8817.7894372,8825.315438,8831.209802399999,8837.1041668,8842.998531199999,8848.8928956,8854.78726,8860.3835308,8865.9798016,8871.5760724,8877.1723432,8882.768614,8864.2787726,8845.7889312,8827.2990898,8808.8092484,8790.319407,8754.1616952,8718.0039834,8681.846271600001,8645.6885598,8609.530848,8682.0375604,8754.5442728,8827.050985200001,8899.557697600001,8972.06441,9029.484539000001,9086.904668000001,9144.324797,9201.744926,9259.165055,9295.9539912,9332.7429274,9369.5318636,9406.3207998,9443.109736,9465.5949114,9488.0800868,9510.5652622,9533.0504376,9555.535613,9570.3940814,9585.2525498,9600.111018200001,9614.9694866,9629.827955
Below 2 C,OC,test,25.86904883,25.478000578,25.086952326,24.695904074,24.304855822,23.91380757,23.427866938,22.941926306,22.455985674,21.970045042,21.48410441,21.1977397,20.91137499,20.62501028,20.33864557,20.05228086,19.761872792,19.471464724,19.181056656,18.890648588,18.60024052,18.368030038,18.135819556,17.903609074,17.671398592,17.43918811,17.305069776,17.170951442,17.036833108,16.902714774,16.76859644,16.585493518,16.402390596,16.219287674,16.036184752,15.85308183,15.726336278,15.599590726,15.472845174,15.346099622,15.21935407,15.117276334,15.015198598,14.913120862,14.811043126,14.70896539,14.616559736,14.524154081999999,14.431748428,14.339342774,14.24693712,14.225147932,14.203358744,14.181569556,14.159780368,14.13799118,14.186349192,14.234707204,14.283065216,14.331423228,14.37978124,14.381749622,14.383718004,14.385686386,14.387654768,14.38962315,14.361261236,14.332899322000001,14.304537408,14.276175494,14.24781358,14.222677736000001,14.197541892,14.172406048000001,14.147270204,14.12213436,14.102381564,14.082628768,14.062875972,14.043123176,14.02337038
Below 2 C,HFC-32,test,5.209188883,5.354284503600001,5.4993801242,5.6444757448,5.7895713654,5.934666986,6.0568498538,6.1790327216,6.3012155894,6.423398457199999,6.545581325,6.4261765262,6.3067717274,6.1873669285999995,6.0679621298,5.948557331,5.8739236966,5.7992900622,5.7246564278,5.6500227934,5.575389159,5.3902093822,5.2050296054,5.0198498286,4.8346700518,4.649490275,4.5091406814,4.3687910878,4.2284414942,4.0880919006,3.947742307,3.6818666796,3.4159910522,3.1501154248,2.8842397974000002,2.61836417,2.5129690239999998,2.407573878,2.302178732,2.196783586,2.09138844,2.05186855,2.01234866,1.97282877,1.93330888,1.89378899,1.85344236,1.8130957300000001,1.7727491,1.73240247,1.69205584,1.642324812,1.592593784,1.542862756,1.493131728,1.4434007,1.470229054,1.497057408,1.523885762,1.550714116,1.57754247,1.591081476,1.604620482,1.6181594879999999,1.6316984939999999,1.6452375,1.6451615659999999,1.645085632,1.645009698,1.6449337640000001,1.64485783,1.636822064,1.628786298,1.620750532,1.612714766,1.604679,1.5940381507999999,1.5833973016,1.5727564524,1.5621156032,1.551474754
Below 2 C,NOx,test,120.8096459,117.21240528,113.61516466,110.01792404,106.42068342,102.8234428,98.94549643799999,95.06755007599999,91.18960371399999,87.311657352,83.43371099,80.71803231199999,78.002353634,75.286674956,72.57099627800001,69.8553176,68.152264508,66.449211416,64.746158324,63.043105232,61.34005214,59.972150578,58.604249016,57.236347454,55.868445892,54.50054433,53.078197605999996,51.655850881999996,50.233504158,48.811157434,47.38881071,46.33169104,45.274571370000004,44.2174517,43.16033203,42.10321236,41.026676036,39.950139712,38.873603388,37.797067064000004,36.72053074,35.850431338,34.980331936,34.110232534000005,33.240133132000004,32.37003373,31.720075558,31.070117386,30.420159214,29.770201042,29.12024287,28.545030754,27.969818638,27.394606522,26.819394406,26.24418229,26.411695216000002,26.579208142000002,26.746721068,26.914233994,27.08174692,27.314099712,27.546452504,27.778805295999998,28.011158088,28.24351088,28.463364618,28.683218356,28.903072094,29.122925832,29.34277957,29.543584182,29.744388794,29.945193406,30.145998018,30.34680263,30.531453832,30.716105033999998,30.900756236,31.085407437999997,31.27005864
